Name,Brand,Motor Size,KV Rating,Weight (g),Shaft Diameter (mm),Mounting Holes (mm),Max Current (A),Max Power (W),Thrust (g),Price ($),Availability,Product URL,Image URL,Description,Specifications
Lumenier ZIP V2 2407 Blackout Motor - 1700KV,Lumenier,2407,1700,,,,,,,29.99,,https://www.getfpv.com/lumenier-zip-v2-2407-blackout-motor-1700kv.html,https://cdn-v2.getfpv.com/media/catalog/product/cache/fa4da5475405b0da777dc0f4b9d16483/l/u/lumenier-gate-breaker-propeller-transparent-black.jpg,The Lumenier ZIP V2 motor line continues to grow with the addition of the ZIP V2 2407 Blackout Motor.,"{""SKU"":""21167"",""UPC (GTIN)"":""724376363568"",""Manufacturer"":""Lumenier"",""NDAA Compliant"":""No"",""Popo Compatible"":""No""}"
Lumenier ZIP V2 2407 Blackout Motor - 1700KV,Lumenier,2407,1700,,,,,,,29.99,,https://www.getfpv.com/lumenier-zip-v2-2407-blackout-motor-1700kv.html,https://cdn-v2.getfpv.com/media/catalog/product/cache/fa4da5475405b0da777dc0f4b9d16483/l/u/lumenier-gate-breaker-propeller-transparent-black.jpg,The Lumenier ZIP V2 motor line continues to grow with the addition of the ZIP V2 2407 Blackout Motor.,"{""SKU"":""21167"",""UPC (GTIN)"":""724376363568"",""Manufacturer"":""Lumenier"",""NDAA Compliant"":""No"",""Popo Compatible"":""No""}"
Lumenier 2807 JohnnyFPV V3 Pro Cinematic Motor,Lumenier,2807,,,,,,,,38.99,,https://www.getfpv.com/lumenier-2807-johnnyfpv-v3-pro-cinematic-motor.html,https://cdn-v2.getfpv.com/media/catalog/product/cache/efa274e45d237d68d5101ae017c2e250/l/u/lumenier-qav-s-2-johnnyfpv-se-5inch-frame-kit-alt-main_2.jpg,"Introducing the Lumenier 2807 JohnnyFPV V3 Motor, designed for high-performance cinematography, FPV drone racing, and long-range drone flying.","{""SKU"":""22323"",""Manufacturer"":""Lumenier"",""NDAA Compliant"":""No"",""Popo Compatible"":""No""}"
Lumenier 2807 JohnnyFPV V3 Pro Cinematic Motor,Lumenier,2807,,,,,,,,38.99,,https://www.getfpv.com/lumenier-2807-johnnyfpv-v3-pro-cinematic-motor.html,https://cdn-v2.getfpv.com/media/catalog/product/cache/efa274e45d237d68d5101ae017c2e250/l/u/lumenier-qav-s-2-johnnyfpv-se-5inch-frame-kit-alt-main_2.jpg,"Introducing the Lumenier 2807 JohnnyFPV V3 Motor, designed for high-performance cinematography, FPV drone racing, and long-range drone flying.","{""SKU"":""22323"",""Manufacturer"":""Lumenier"",""NDAA Compliant"":""No"",""Popo Compatible"":""No""}"
Lumenier 2807 JohnnyFPV V3 Pro Cinematic Motor,Lumenier,2807,,,,,,,,38.99,,https://www.getfpv.com/lumenier-2807-johnnyfpv-v3-pro-cinematic-motor.html,https://cdn-v2.getfpv.com/media/catalog/product/cache/efa274e45d237d68d5101ae017c2e250/l/u/lumenier-qav-s-2-johnnyfpv-se-5inch-frame-kit-alt-main_2.jpg,"Introducing the Lumenier 2807 JohnnyFPV V3 Motor, designed for high-performance cinematography, FPV drone racing, and long-range drone flying.","{""SKU"":""22323"",""Manufacturer"":""Lumenier"",""NDAA Compliant"":""No"",""Popo Compatible"":""No""}"
Lumenier 2307 JohnnyFPV V3 Pro Cinematic Motor,Lumenier,2307,,,,,,,,32.49,,https://www.getfpv.com/lumenier-2307-johnnyfpv-v3-pro-cinematic-motor.html,https://cdn-v2.getfpv.com/media/catalog/product/cache/efa274e45d237d68d5101ae017c2e250/l/u/lumenier-qav-s-2-johnnyfpv-se-5inch-frame-kit-alt-main_2.jpg,"Introducing the Lumenier 2307 JohnnyFPV V3 Motor, designed for high-performance cinematography, FPV drone racing, and freestyle drone flying.","{""SKU"":""22120"",""Manufacturer"":""Lumenier"",""NDAA Compliant"":""No"",""Popo Compatible"":""No""}"
Lumenier 2307 JohnnyFPV V3 Pro Cinematic Motor,Lumenier,2307,,,,,,,,32.49,,https://www.getfpv.com/lumenier-2307-johnnyfpv-v3-pro-cinematic-motor.html,https://cdn-v2.getfpv.com/media/catalog/product/cache/efa274e45d237d68d5101ae017c2e250/l/u/lumenier-qav-s-2-johnnyfpv-se-5inch-frame-kit-alt-main_2.jpg,"Introducing the Lumenier 2307 JohnnyFPV V3 Motor, designed for high-performance cinematography, FPV drone racing, and freestyle drone flying.","{""SKU"":""22120"",""Manufacturer"":""Lumenier"",""NDAA Compliant"":""No"",""Popo Compatible"":""No""}"
Lumenier 2307 JohnnyFPV V3 Pro Cinematic Motor,Lumenier,2307,,,,,,,,32.49,,https://www.getfpv.com/lumenier-2307-johnnyfpv-v3-pro-cinematic-motor.html,https://cdn-v2.getfpv.com/media/catalog/product/cache/efa274e45d237d68d5101ae017c2e250/l/u/lumenier-qav-s-2-johnnyfpv-se-5inch-frame-kit-alt-main_2.jpg,"Introducing the Lumenier 2307 JohnnyFPV V3 Motor, designed for high-performance cinematography, FPV drone racing, and freestyle drone flying.","{""SKU"":""22120"",""Manufacturer"":""Lumenier"",""NDAA Compliant"":""No"",""Popo Compatible"":""No""}"
AOS RC Supernova 2207 FPV Motor - 1980KV,AOS,2207,1980,,,,,,,37.99,,https://www.getfpv.com/aos-rc-supernova-2207-fpv-motor-1980kv.html,https://cdn-v2.getfpv.com/media/catalog/product/cache/fa4da5475405b0da777dc0f4b9d16483/a/o/aos-rc-fpv-frame-kit---cine35-evo.jpg,"Introducing the AOS RC Supernova Motor, designed for high-performance FPV drones.","{""SKU"":""21317"",""UPC (GTIN)"":""724376356249"",""Manufacturer"":""AOS RC"",""NDAA Compliant"":""No"",""Popo Compatible"":""No""}"
AOS RC Supernova 2207 FPV Motor - 1980KV,AOS,2207,1980,,,,,,,37.99,,https://www.getfpv.com/aos-rc-supernova-2207-fpv-motor-1980kv.html,https://cdn-v2.getfpv.com/media/catalog/product/cache/fa4da5475405b0da777dc0f4b9d16483/a/o/aos-rc-fpv-frame-kit---cine35-evo.jpg,"Introducing the AOS RC Supernova Motor, designed for high-performance FPV drones.","{""SKU"":""21317"",""UPC (GTIN)"":""724376356249"",""Manufacturer"":""AOS RC"",""NDAA Compliant"":""No"",""Popo Compatible"":""No""}"
